Streams,Date,Genre
3978028,1/1/2019,Pop
3883836,1/1/2019,Rap
3351784,1/1/2019,Edm
3195966,1/1/2019,Rap
2777884,1/1/2019,Reggaeton
2624453,1/1/2019,Rap
2618489,1/1/2019,Pop
2432084,1/1/2019,Pop
2385494,1/1/2019,Pop
2385450,1/1/2019,Edm
2191752,1/1/2019,Hip Hop
2160788,1/1/2019,Hip Hop
2020725,1/1/2019,Hip Hop
1904157,1/1/2019,Hip Hop
1818904,1/1/2019,Rock
1766878,1/1/2019,Rap
1748652,1/1/2019,Rock
1702113,1/1/2019,Hip Hop
1649370,1/1/2019,Rap
1610618,1/1/2019,Rap
1599587,1/1/2019,Rap
1575089,1/1/2019,Rock
1569388,1/1/2019,Pop
1552552,1/1/2019,Hip Hop
1532954,1/1/2019,Rap
1520786,1/1/2019,Hip Hop
1480647,1/1/2019,Hip Hop
1434955,1/1/2019,Edm
1415040,1/1/2019,Pop
1401784,1/1/2019,Reggaeton
1355797,1/1/2019,Pop
1354412,1/1/2019,Edm
1354146,1/1/2019,Pop
1349422,1/1/2019,Edm
1327813,1/1/2019,Pop
1323457,1/1/2019,Reggaeton
1316696,1/1/2019,Edm
1288354,1/1/2019,Hip Hop
1287251,1/1/2019,Hip Hop
1266708,1/1/2019,Hip Hop
1244010,1/1/2019,Reggaeton
1234391,1/1/2019,Hip Hop
1208890,1/1/2019,Hip Hop
1192272,1/1/2019,Rock
1174937,1/1/2019,Reggaeton
1161132,1/1/2019,Pop
1155173,1/1/2019,Rock
1144090,1/1/2019,Pop
1123301,1/1/2019,Pop
1122507,1/1/2019,Pop
1113177,1/1/2019,Hip Hop
1070677,1/1/2019,Rap
1063063,1/1/2019,Reggaeton
1057399,1/1/2019,Rap
1057376,1/1/2019,Hip Hop
1039862,1/1/2019,Rap
1039050,1/1/2019,Hip Hop
1029266,1/1/2019,Reggaeton
1027193,1/1/2019,Reggaeton
1021738,1/1/2019,Edm
1020796,1/1/2019,Hip Hop
1007381,1/1/2019,Pop
1005916,1/1/2019,Rap
1001566,1/1/2019,Reggaeton
997092,1/1/2019,Edm
996870,1/1/2019,Rock
962317,1/1/2019,Pop
961238,1/1/2019,Edm
960024,1/1/2019,Rap
