Streams,Date,Genre
9141430,7/1/2019,Pop
5126044,7/1/2019,Pop
4814461,7/1/2019,Pop
4598319,7/1/2019,Pop
4495512,7/1/2019,Hip Hop
3244250,7/1/2019,Hip Hop
3148095,7/1/2019,Hip Hop
3103475,7/1/2019,Reggaeton
3044316,7/1/2019,Pop
2955993,7/1/2019,Reggaeton
2550535,7/1/2019,Pop
2521976,7/1/2019,Pop
2448302,7/1/2019,Reggaeton
2432657,7/1/2019,Reggaeton
2418535,7/1/2019,Rap
2377554,7/1/2019,Reggaeton
2357746,7/1/2019,Pop
2311660,7/1/2019,Edm
2215639,7/1/2019,Edm
2213715,7/1/2019,Reggaeton
2154956,7/1/2019,Edm
2144572,7/1/2019,Hip Hop
2060673,7/1/2019,Hip Hop
2003239,7/1/2019,Edm
1997416,7/1/2019,Rock
1984779,7/1/2019,Pop
1981846,7/1/2019,Hip Hop
1927750,7/1/2019,Hip Hop
1927693,7/1/2019,R&B
1878662,7/1/2019,Rap
1843161,7/1/2019,Hip Hop
1822212,7/1/2019,Edm
1797200,7/1/2019,Edm
1786356,7/1/2019,Reggaeton
1755226,7/1/2019,Pop
1705954,7/1/2019,Edm
1677293,7/1/2019,Reggaeton
1663522,7/1/2019,Pop
1626036,7/1/2019,R&B
1570479,7/1/2019,Reggaeton
1565365,7/1/2019,Pop
1551111,7/1/2019,Rock
1526463,7/1/2019,Hip Hop
1522832,7/1/2019,Edm
1520524,7/1/2019,R&B
1501048,7/1/2019,Edm
1473255,7/1/2019,Rock
1466801,7/1/2019,Rap
1433386,7/1/2019,Pop
1427073,7/1/2019,Pop
1427059,7/1/2019,Pop
1419977,7/1/2019,Hip Hop
1405401,7/1/2019,Pop
1397383,7/1/2019,Reggaeton
1383204,7/1/2019,Hip Hop
1349051,7/1/2019,Edm
1336051,7/1/2019,Hip Hop
1324753,7/1/2019,Reggaeton
1313413,7/1/2019,Rap
1298516,7/1/2019,Pop
1263348,7/1/2019,Rap
1259283,7/1/2019,Edm
1259147,7/1/2019,Pop
1257774,7/1/2019,Pop
1251780,7/1/2019,Pop
1243466,7/1/2019,Pop
1189903,7/1/2019,Reggaeton
1162969,7/1/2019,Pop
1158929,7/1/2019,Pop
1158122,7/1/2019,Reggaeton
1157271,7/1/2019,Pop
1154275,7/1/2019,Pop
1126995,7/1/2019,Rap
1106815,7/1/2019,Pop
1103893,7/1/2019,Edm
1098554,7/1/2019,Reggaeton
1095492,7/1/2019,Edm
1089323,7/1/2019,Hip Hop
1077029,7/1/2019,Rock
1071148,7/1/2019,Edm
1040168,7/1/2019,Rap
1037513,7/1/2019,Pop
1029722,7/1/2019,Pop
1022856,7/1/2019,Rap
1019640,7/1/2019,Edm
1015382,7/1/2019,Rock
1012902,7/1/2019,Pop
999362,7/1/2019,Rap
987947,7/1/2019,Pop
986129,7/1/2019,Reggaeton
983044,7/1/2019,Rock
977947,7/1/2019,Pop
963916,7/1/2019,Hip Hop
958829,7/1/2019,Rap
953280,7/1/2019,Rock
946387,7/1/2019,Reggaeton
942123,7/1/2019,Pop
937702,7/1/2019,Rap
927054,7/1/2019,Pop
922722,7/1/2019,Rock
916949,7/1/2019,Edm
916518,7/1/2019,Reggaeton
911168,7/1/2019,Rap
903130,7/1/2019,Pop
897765,7/1/2019,R&B
891892,7/1/2019,Rap
891357,7/1/2019,Hip Hop
891301,7/1/2019,Pop
882870,7/1/2019,Hip Hop
882013,7/1/2019,Reggaeton
872968,7/1/2019,Pop
868519,7/1/2019,Hip Hop
864928,7/1/2019,Pop
862316,7/1/2019,Hip Hop
858534,7/1/2019,Rap
847419,7/1/2019,Hip Hop
845045,7/1/2019,Edm
828738,7/1/2019,Edm
828073,7/1/2019,Reggaeton
